N,Model,Mean_FJC,MeanDiff_FJC,Std_FJC,StdRatio_FJC,KL_FJC,KS_FJC,Effective_Samples_FJC,Valid_Chi2_FJC,Trunc_Mu_FJC,Trunc_Sigma_FJC,Mean_SAW,MeanDiff_SAW,Std_SAW,StdRatio_SAW,KL_SAW,KS_SAW,Effective_Samples_SAW,Valid_Chi2_SAW,Trunc_Mu_SAW,Trunc_Sigma_SAW,Mean_WLC,MeanDiff_WLC,Std_WLC,StdRatio_WLC,KL_WLC,KS_WLC,Effective_Samples_WLC,Valid_Chi2_WLC,Trunc_Mu_WLC,Trunc_Sigma_WLC
30,FJC,0.8580168215892996,0.0075340954283696915,0.4244259435178042,0.994489274779586,0.002537576665140061,0.02066473128332713,126211.0,True,0.8084408279927955,0.4881395073171235,,,,,,,,,,,,,,,,,,,,
30,SAW,,,,,,,,,,,0.7871978823548317,-0.00308448671937811,0.3929800879374686,0.9751809338861406,0.0057596321857248545,0.009748236565633967,2757.16328425378,False,0.7440526843534754,0.4550415646140953,,,,,,,,,,
30,WLC,,,,,,,,,,,,,,,,,,,,,0.8628118415107906,0.004396596532520336,0.4420036035489633,0.9944137557634262,0.0017148701825844763,0.018000000000000016,50000.0,True,0.8047530790941869,0.5267881118541151
40,FJC,0.8989622098198105,0.0073398405868955185,0.44148252415063344,0.9910416982761546,0.003353161094825838,0.013638401646915987,113667.0,True,0.8526578187687269,0.5214967906871264,,,,,,,,,,,,,,,,,,,,
40,SAW,,,,,,,,,,,0.8943941381832039,-0.002258522299772192,0.43359923166887415,0.9778770179663838,0.008928278232550012,0.0146,5000.0,True,0.8611275940186861,0.5157684337515008,,,,,,,,,,
40,WLC,,,,,,,,,,,,,,,,,,,,,0.8837417318710017,0.00575564956264385,0.44944140168695407,0.9955897594949308,0.0017813136546710132,0.018719999999999987,50000.0,True,0.8278606279929929,0.5393915837613584
50,FJC,0.9264693041072154,0.004718828153123522,0.44983584266625265,0.9872663979140558,0.0031866092110730605,0.014761370369284044,102279.0,True,0.8894414189749178,0.5414230432537058,,,,,,,,,,,,,,,,,,,,
50,SAW,,,,,,,,,,,0.9502204665593369,-0.0020868716608923865,0.45769228422070735,0.9782481037401747,0.010010052427158054,0.013566666666666666,6000.0,True,0.9282054394731396,0.5708838130186524,,,,,,,,,,
50,WLC,,,,,,,,,,,,,,,,,,,,,0.9101338925883757,0.005230273974162758,0.45960480373887125,0.9908151129800146,0.0029649957843498366,0.016739999999999977,50000.0,True,0.8583134792746842,0.5671528429080833
60,FJC,0.9476989555370938,0.0033000799581094364,0.4534276964138203,0.9858376392288561,0.0031840839570022126,0.013165104416445049,91748.0,True,0.9200260867860416,0.5495929501880199,,,,,,,,,,,,,,,,,,,,
60,SAW,,,,,,,,,,,0.9559761890430112,-0.00037853633052442603,0.4609673436447124,0.9778908813518858,0.010133786029233814,0.020233333333333332,6000.0,True,0.9328278386511789,0.5809184926783515,,,,,,,,,,
60,WLC,,,,,,,,,,,,,,,,,,,,,0.9364778777307131,0.005891353461168203,0.46327015671387733,0.9893863296005115,0.003394437094305295,0.014800000000000008,50000.0,True,0.8949006474265234,0.5749487492306707
