N,FJC_samples,FJC_attempts,FJC_acceptance,FJC_ESS,SAW_samples,SAW_attempts,SAW_acceptance,SAW_ESS,WLC_samples,WLC_attempts,WLC_acceptance,WLC_ESS,FJC_Gaussian_Mean,FJC_Gaussian_Std,FJC_Trunc_Mu,FJC_Trunc_Sigma,SAW_Trunc_Mu,SAW_Trunc_Sigma,WLC_Trunc_Mu,WLC_Trunc_Sigma,FJC_MeanErr,FJC_StdErr,SAW_MeanErr,SAW_StdErr,WLC_MeanErr,WLC_StdErr,KL_FJC_Fourier,KS_FJC_Fourier,Chi2_FJC_Fourier,Reduced_Chi2_FJC_Fourier,DOF_FJC_Fourier,MeanDiff_FJC_Fourier,StdRatio_FJC_Fourier,Valid_Chi2_FJC_Fourier,Effective_Samples_FJC_Fourier,KL_SAW_Fourier,KS_SAW_Fourier,Chi2_SAW_Fourier,Reduced_Chi2_SAW_Fourier,DOF_SAW_Fourier,MeanDiff_SAW_Fourier,StdRatio_SAW_Fourier,Valid_Chi2_SAW_Fourier,Effective_Samples_SAW_Fourier,KL_WLC_Fourier,KS_WLC_Fourier,Chi2_WLC_Fourier,Reduced_Chi2_WLC_Fourier,DOF_WLC_Fourier,MeanDiff_WLC_Fourier,StdRatio_WLC_Fourier,Valid_Chi2_WLC_Fourier,Effective_Samples_WLC_Fourier
5,149941,150000,0.9996066666666666,149941,3000,3000,1.0,3000.0,50000,50000,1.0,50000,0.7499314906219828,0.2230431846518489,0.7494347394010427,0.22383906926255698,0.7466524976636282,0.1581456966049166,0.749768425509604,0.2425595348390964,0.0010742607002739435,0.0007860765414101911,0.005282430038331731,0.0030210615142877845,0.0017751732889922933,0.0009311103469876875,0.0001871809269424051,0.012330584696647384,52.9695870300197,1.7086963558070871,31,-0.000666323582971029,1.0016383846661743,True,149941,0.1557011448145898,0.11266666666666666,423.6466345550514,28.24310897033676,15.0,-0.0022933778004671224,0.6500663759217479,True,3000.0,0.052901537208922385,0.02971999999999997,2539.092164264489,133.636429698131,19,-0.00047627633475522124,0.94884976557302,True,50000
10,148264,150000,0.9884266666666667,148264,3000,3000,1.0,3000.0,50000,50225,0.9955201592832255,50000,0.7577296627272175,0.30538265562318617,0.7489288556240098,0.31535756704765916,0.7472888723997251,0.2289820857950357,0.7477975546239158,0.37209366612685624,0.0015200868686991997,0.0010227362912401672,0.007719180458514885,0.004933040139114539,0.00285241635781619,0.001699355545626613,0.002084981044577373,0.017498300329142624,880.4996064227395,23.171042274282616,38,-0.005693196047634741,1.01237305318257,True,148264,0.10372643925242644,0.09066666666666667,361.53747589175794,15.064061495489915,24.0,-0.013668886233466071,0.7178340222277366,True,3000.0,0.025425716867978294,0.055520000000000014,2750.7343590443397,85.96044872013562,32,-0.010432104971944023,1.095209349538043,True,50000
15,143934,150000,0.95956,143934,3000,3000,1.0,3000.0,50000,52300,0.9560229445506692,50000,0.7811388129232982,0.3546517871453127,0.7546746217268693,0.3783497478629553,0.7464653646237476,0.2793928018060539,0.7506310589245638,0.4582150515944621,0.0018034658703811601,0.0011936311413162926,0.009639681452381255,0.0059480797698746035,0.0032165637450858875,0.0020818873665139903,0.0032310036796790367,0.013647132713604848,1285.6171719957865,32.96454287168683,39,-0.009081461785189648,1.0184643322072942,True,143934,0.07817397255195524,0.11733333333333333,246.86258018044617,8.816520720730221,28.0,-0.04132751786212285,0.7620937198634702,True,3000.0,0.032176367614935114,0.04690000000000005,4756.509609265,121.96178485294872,39,-0.003056892711821746,1.129757459694924,True,50000
20,138620,150000,0.9241333333333334,138620,3000,3000,1.0,3000.0,50000,53577,0.9332362767605502,50000,0.8066598460399571,0.38779192984946986,0.7670381601396014,0.42546790744336793,0.7593721156162316,0.31849001243301817,0.763995839813287,0.4606622600796324,0.001903704497235148,0.001293152393653768,0.011279447180480406,0.006905234025146284,0.0034799668527804584,0.00219321099785591,0.0054235794084733415,0.021214081662097817,2128.0589975487887,54.565615321763815,39,-0.01397874816371325,1.0255282667937633,True,138620,0.0670268774046683,0.108,240.40325277021077,7.754943637748735,31.0,-0.061463069806788506,0.8085999152474592,True,3000.0,0.013734980640936345,0.0431,1954.9617756925406,50.12722501775745,39,-0.014392539917460367,1.0660119584201553,True,50000
25,132456,150000,0.88304,132456,3000,3000,1.0,3000.0,50000,56066,0.8918060856847287,50000,0.8336391568518354,0.4095696021323033,0.7860227153783326,0.46041911045893286,0.7542886989701841,0.3638053217681147,0.7808784997795021,0.4989072265651288,0.002277806086435241,0.0013270063005185184,0.011913326657238932,0.007376578621621943,0.0036958752283726692,0.002184026672076733,0.006302551169785805,0.01850383523585189,2368.283451901565,60.72521671542474,39,-0.015530930105113971,1.0300562857242404,True,132456,0.05888557931790589,0.10333333333333333,259.9025033427938,7.644191274788053,34.0,-0.08588888028237174,0.8571866596747425,True,3000.0,0.015215093284491447,0.04515999999999998,2234.9211502669477,57.30567051966533,39,-0.012664656184151024,1.0732829661098127,True,50000
30,126211,150000,0.8414066666666666,126211,3841,4000,0.96025,2757.16328425378,50000,58899,0.8489108473828079,50000,0.8580168215892996,0.4244259435178042,0.8084408279927955,0.4881395073171235,0.7440526843534754,0.4550415646140953,0.8047530790941869,0.5267881118541151,0.0023003666777631215,0.001388423815176898,0.012411321758621141,0.007343465873458077,0.003794239465425564,0.0023000333596550626,0.006930994914645768,0.025801573555395363,2429.605890458862,62.29758693484262,39,-0.016057605540334863,1.0343462982043645,True,126211,0.03228896347774773,0.07439353307390573,,,,-0.08687654477480278,0.957881175451421,False,2757.16328425378,0.01660556951637547,0.04000000000000001,2443.191721639336,62.64594158049579,39,-0.011262585618843857,1.077190399901033,True,50000
40,113667,150000,0.75778,113667,5000,75060,0.06661337596589395,5000.0,50000,62547,0.7993988520632485,50000,0.8989622098198105,0.44148252415063344,0.8526578187687269,0.5214967906871264,0.8611275940186861,0.5157684337515008,0.8278606279929929,0.5393915837613584,0.002589210721126778,0.001489783202172884,0.012102009797335334,0.007227307113977927,0.003912018198676592,0.0022360978271733223,0.007306160718987468,0.01991352107471825,2296.2704088046817,58.878728430889275,39,-0.013896674902493245,1.0408516603601878,True,113667,0.010095530006377128,0.026,116.93988497655688,3.077365394119918,38.0,-0.018464746539099797,1.0223635321874516,True,5000.0,0.016205682978178645,0.043320000000000025,2412.811397976939,61.866958922485615,39,-0.02911715285130201,1.0596216698963792,True,50000
50,102279,150000,0.68186,102279,6000,66491,0.09023777654118602,6000.0,50000,68718,0.7276113973049274,50000,0.9264693041072154,0.44983584266625265,0.8894414189749178,0.5414230432537058,0.9282054394731396,0.5708838130186524,0.8583134792746842,0.5671528429080833,0.0027631107082962125,0.0015481599393750434,0.011400642290991414,0.006077350691285621,0.0038153795600098794,0.0023322620200492417,0.008315854593172555,0.02316430938902414,2386.1362986879567,61.182982017639915,39,-0.013358552517421463,1.0455950931506188,True,102279,0.012468295108540079,0.0399,173.40574031035993,4.4463010335989726,39.0,0.010392609934700037,1.0639400121662803,True,6000.0,0.016731956772172218,0.044340000000000046,2349.951529163967,60.255167414460686,39,-0.029693964036261122,1.0683074543696416,True,50000
60,91748,150000,0.6116533333333334,91748,6000,60524,0.09913422774436587,6000.0,50000,75344,0.6636228498619664,50000,0.9476989555370938,0.4534276964138203,0.9200260867860416,0.5495929501880199,0.9328278386511789,0.5809184926783515,0.8949006474265234,0.5749487492306707,0.0028778649646751253,0.0014895795388946698,0.011909367896699163,0.005976082091442542,0.004088275124830121,0.0022605500656226463,0.008318356783892613,0.02555881763090201,2129.618339076811,54.60559843786695,39,-0.010754712981152159,1.047333652269661,True,91748,0.011051473288327328,0.03436666666666666,151.79618315600914,3.892209824513055,39.0,-0.0024774794752348006,1.064831772273694,True,6000.0,0.01593178572127789,0.03630000000000001,2305.4619447177283,59.11440883891611,39,-0.021975790787532867,1.07007277431175,True,50000
