N,FJC_samples,SAW_samples,WLC_samples,KL_FJC_Fourier,Chi2_FJC_Fourier,MeanDiff_FJC_Fourier,StdRatio_FJC_Fourier,KL_SAW_Fourier,Chi2_SAW_Fourier,MeanDiff_SAW_Fourier,StdRatio_SAW_Fourier,KL_WLC_Fourier,Chi2_WLC_Fourier,MeanDiff_WLC_Fourier,StdRatio_WLC_Fourier,KL_FJC_Image,Chi2_FJC_Image,MeanDiff_FJC_Image,StdRatio_FJC_Image,KL_SAW_Image,Chi2_SAW_Image,MeanDiff_SAW_Image,StdRatio_SAW_Image,KL_WLC_Image,Chi2_WLC_Image,MeanDiff_WLC_Image,StdRatio_WLC_Image
5,199892,5000,50000,0.13340821281901075,950.5231186575144,0.00016945458683451683,0.7204406376009244,0.09012172989860856,15.369169713642362,0.0035603070873913394,0.7804635678896973,0.01937842211765073,63.105090147953575,-0.002029250008385145,1.076535296377151,0.0007449873084721289,6.246067624384701,0.0001694545868345311,1.0164520713813867,0.02226096817448485,4.943071150837533,0.0035603070873913537,1.101136955379004,0.2964554689714936,1454.2695729043714,-0.0020292500083851305,1.5188573142703106
10,192703,5000,50000,0.009682604408753483,83.15792489963404,0.0007292428434904515,0.9510208418068368,0.018983289131948532,4.178058481430234,0.0026863961745744068,1.05904480671388,0.06632255109708476,258.80615843176224,0.0005589246187171422,1.169167182603568,0.006266403363698601,77.09403660086714,0.0007292428434904657,1.0437366853169088,0.0519316233918765,13.025180459398165,0.002686396174574421,1.1622919998909378,0.12966008726319503,529.7205824364434,0.0005589246187171564,1.2831503013472487
15,177835,5000,50000,0.007825447972368253,90.29563754786955,0.0003773470195557364,1.0237738971335995,0.04525225235117063,10.429306612715976,0.002995190929261719,1.133371548543643,0.06163151599218436,244.26728853836622,0.0012723557526151752,1.1604728671832791,0.010711236313528572,124.64458671319345,0.00037734701955579344,1.0553545508157043,0.06138385378334705,14.671247829333046,0.002995190929261776,1.1683329931242494,0.07804803824831419,310.12202530809463,0.001272355752615232,1.196270314088894
20,160743,5000,50000,0.01195182842930052,129.46199678851423,0.0007173646153768654,1.0521377476768963,0.05511190265034339,13.15781733258803,0.0014147171159973936,1.14631293155894,0.06077077525098677,240.23594856505647,0.0009791196887026924,1.1597180603643273,0.013594196020118885,146.04491923203702,0.0007173646153768939,1.0632913044401306,0.06078802639829575,14.69898702518123,0.001414717115997422,1.1584648255279593,0.06607945917115932,261.08782443899617,0.0009791196887027208,1.1720120601226118
25,144692,5000,50000,0.012484284124237901,118.36661151144801,0.0009241982096271945,1.0590478768649,0.05267039632680498,12.406895820190721,0.0014231081782951711,1.142044986517997,0.061009660135706946,236.4200525565388,-0.0014672769310523075,1.160859123754912,0.013118341711789439,123.88543647761249,0.0009241982096272087,1.063008583430864,0.054593280166220115,12.921990505384255,0.0014231081782951854,1.1463160918906061,0.06285358859658077,243.56334577098335,-0.0014672769310522932,1.1652005916470212
30,129265,5000,50000,0.014297145177021407,123.51332128549613,0.0002655824263936168,1.0647221945384397,0.05423408509760826,13.106267191036183,0.0004396587152697754,1.1524340485201938,0.06078026731425473,236.07736752890946,-0.0006363082842173622,1.1602941146302452,0.014542029895773629,125.4512092624018,0.00026558242639363106,1.0661395808544676,0.054956690870944847,13.300233688964129,0.0004396587152697897,1.1539681991736468,0.06142877729711409,238.5880378340489,-0.0006363082842173479,1.161838728811372
40,103641,5000,50000,0.014214133917207892,97.0337564121603,-0.0015204357711107867,1.067292536393157,0.05317001463923857,12.772023166719807,-8.76508197144615e-05,1.1485679910386457,0.059084891976628806,224.82633673228048,-0.0016719708910248282,1.1581721229336839,0.014247080035222567,97.23658197852606,-0.0015204357711107723,1.0674738924896106,0.05325958216553149,12.795877396000828,-8.765081971444726e-05,1.1487631575935158,0.05916589258750128,225.13553104778416,-0.0016719708910248139,1.1583689214383812
50,83292,5000,50000,0.014771674172678807,82.21814607735082,0.000952058530486426,1.0656085041550942,0.05223366893729014,12.97140511496991,-8.718645895066771e-05,1.144803343070947,0.06140726217069671,236.90154067404146,-0.000668550935459704,1.1618062638339277,0.014775676150635875,82.23868783968875,0.0009520585304864402,1.0656316638996575,0.05224467582041321,12.97442219512688,-8.718645895065347e-05,1.1448282240219692,0.06141792406302151,236.94263266719133,-0.0006685509354596898,1.1618315143233875
60,66517,5000,50000,0.015063863974293563,68.06070613960327,-0.00087850692957575,1.0672071319745804,0.04742968899431694,11.43225907040456,-0.00041972538922863063,1.1354699285159031,0.06449010387473911,255.5130568082739,0.0014313852754000579,1.1659507181081854,0.015064390365796248,68.06287168048674,-0.0008785069295757214,1.0672100994415663,0.047431012416938874,11.432616972741677,-0.0004197253892286021,1.1354730857938349,0.06449150208570092,255.51859197764267,0.0014313852754000863,1.165953960140739
